"Respondent"      "y" "x1"    "x2"    "theta"
          1        0 -1.2634 -0.5074   0.3118
          2        1  3.1674  1.1221  -2.8572
          3        0 -1.2644 -0.2167  -2.6024
          4        1 -0.3611  0.2697  -0.3487
          5        0  0.1940  0.5265  -1.9461
          6        1 -1.3746 -0.7488   0.3700
          7        1 -0.5191 -0.0430   1.9533
          8        1 -0.4246 -1.4156   1.9727
          9        1  1.1421  0.3341  -0.9293
         10        0 -1.2989  0.3669  -3.3245
         11        0 -1.9876  0.7426  -1.3992
         12        1  0.3631  0.5992  -2.7171
         13        0  0.9796  0.3054  -2.8037
         14        0 -2.5126 -0.9467  -0.4834
         15        0  0.1662 -0.3635  -0.7557
         16        0 -0.4428  1.2388  -1.8022
         17        0  0.3903 -0.0846  -0.8440
         18        0 -0.0941  1.5968  -2.1539
         19        0 -2.3158  0.4230  -3.1655
         20        0  0.1080 -0.0031  -1.2478
         21        0 -0.0024 -0.7303  -2.4038
         22        0  0.3480  0.2844  -1.6441
         23        1  0.6301 -0.1580   0.5088
         24        0  0.8638 -1.1042  -0.9965
         25        1  0.6527  0.2628   0.0516
         26        0 -0.7133  0.1326  -0.1892
         27        0 -0.5209 -0.9486   0.8535
         28        1 -1.7480 -0.3444   2.6768
         29        1 -0.3638 -0.2362   1.6342
         30        1 -0.0102  0.1477   4.0530
         31        1  0.4210 -0.5854   1.2378
         32        1 -0.4814  0.8649   0.2992
         33        0  0.0308 -0.5352  -0.5378
         34        1  1.1609  0.0997  -0.9701
         35        1  1.9142 -0.1926  -1.0053
         36        0  0.4377  1.0306  -6.0719
         37        0  0.9964 -1.3462  -4.2464
         38        0 -0.5430  0.6504  -3.8710
         39        0 -0.0282  0.0371  -2.1747
         40        0  1.3827 -1.0163  -3.5121
         41        0 -1.7057  0.1577  -4.2979
         42        0 -0.5162 -0.9110  -5.9305
         43        0  2.3674 -1.0398  -2.8522
         44        1  1.6437 -0.3571  -0.2449
         45        1 -0.0326 -1.2190   2.4044
         46        1 -0.1511 -1.8450   3.6505
         47        1  0.2550 -0.2966   3.3428
         48        1  0.4565 -1.4470   0.3265
         49        0 -0.7302 -0.7254  -2.9686
         50        0 -1.2509  0.2946  -1.6041
         51        0  1.4788  0.3256  -2.5212
         52        1  0.0780 -0.2086   1.1404
         53        1  0.9327 -0.2033   1.1181
         54        1 -0.3596 -0.6386  -0.2396
         55        1  0.8072  0.3332   2.8280
         56        1  1.9945 -0.0611   1.9538
         57        0 -0.4618  0.1562  -1.9462
         58        0  1.3007 -0.2044  -0.7280
         59        0 -0.4667 -1.4839  -2.2079
         60        0 -0.1792 -0.4504  -0.7107
         61        0  0.4872  0.2557  -5.5286
         62        0  1.3880 -0.3419  -2.0135
         63        0 -0.1238 -1.4568   1.3146
         64        1  1.4338  0.1854   1.7933
         65        1  0.7948  1.2900  -1.3880
         66        1 -0.4700  1.2569   0.7618
         67        1  0.4612 -0.5644   1.1589
         68        0  0.7988 -0.2742  -2.2802
         69        0  0.5631 -0.1948  -2.6756
         70        0  1.6105 -0.9585  -4.5054
         71        0 -0.9427  0.3425  -1.1689
         72        1  1.6015 -0.8999   0.8766
         73        1  1.5256 -0.9499   2.3081
         74        1  0.5332 -0.4753   2.5975
         75        0 -1.7264 -0.8667   0.5431
         76        0 -1.6295 -0.2030  -2.7901
         77        0 -0.0300 -0.2784  -1.0353
         78        1  1.5224  1.4525  -1.0922
         79        0  0.1164 -0.9706  -3.9905
         80        1 -0.2761 -0.6994   1.3666
         81        0 -0.4878  0.1198   0.0688
         82        1  2.3557 -1.4447   1.7175
         83        0  1.3064 -0.7971  -1.2934
         84        0 -0.0068  0.3495  -1.5040
         85        1  1.3913  0.7603  -2.4657
         86        0 -1.0521 -0.7503  -0.5595
         87        1  1.4037  1.2255  -1.2581
         88        1  0.9009  0.2739   0.6970
         89        1 -0.4133  0.9534   3.1686
         90        1 -0.5696 -0.4254   2.0086
         91        0 -0.9920 -0.6757   1.4440
         92        1  0.3148 -1.0090   1.3039
         93        0 -1.0289  1.7131  -0.5785
         94        1 -0.4808  1.1074  -0.1725
         95        0 -0.0428  0.5962  -3.3425
         96        0 -1.6619  0.7600  -0.9847
         97        1 -0.0254 -0.1024   2.5084
         98        0 -1.5015  0.9117  -2.1965
         99        0  0.2739 -1.0848   0.0151
        100        0  1.0301  0.2283   0.1208
        101        1  0.2823  0.3844  -0.7145
        102        0 -0.3413  0.0350  -2.4704
        103        0 -1.5823  1.9277   0.4096
        104        0 -1.7890 -0.7582   0.0374
        105        0 -3.1722 -0.9255  -0.1587
        106        0  0.2716 -0.1652  -0.1012
        107        1 -0.7686  1.2778   2.5992
        108        1  0.0217 -0.5375   4.2687
        109        1  0.3549  0.5254   2.2827
        110        0  0.5464 -0.7941   1.6018
        111        0  0.1619  0.1510  -0.4775
        112        1  1.3262 -1.2545  -0.2858
        113        1  0.6976 -0.3576  -0.0559
        114        0 -0.4240 -1.0354   1.0249
        115        1  0.8999  0.5988   0.0653
        116        0 -0.4720 -1.3594  -1.2806
        117        1 -0.8688  0.2548   2.5442
        118        1 -0.0679  1.6604   3.6317
        119        1 -1.2673 -0.4501   6.9366
        120        1  1.2021  0.0657   2.9996
        121        0  0.7303 -1.8229   0.0600
        122        1  1.7229  0.6150  -0.9199
        123        0  0.1220  0.9013   0.4724
        124        0 -0.1128 -0.2373  -2.0214
        125        1  0.4799  0.3853  -0.7125
        126        0 -0.7847 -0.8716   2.8919
        127        1 -1.0413  1.0744   2.3041
        128        1 -0.4071 -0.5032   2.5614
        129        1  0.5408 -1.9818   4.2864
        130        1  0.2313 -0.7710   4.4043
        131        1 -1.2940  1.5257   6.3090
        132        1 -4.2059  0.7104   9.4703
        133        1 -0.3921  0.0721   4.4304
        134        0  0.0974  0.0101  -0.1934
        135        0 -0.4372 -0.5316  -0.9266
        136        1 -1.7688  1.4189   1.1839
        137        1  0.9618 -0.1030   1.6456
        138        0 -0.5771  0.0894   0.1204
        139        0 -0.6261 -0.8691   0.9672
        140        0  1.6346  0.7357  -2.4440
        141        0 -0.6222  0.1417  -1.4145
        142        0  1.1447  0.0794  -1.2684
        143        0 -1.1253  0.3596  -0.6794
        144        1  0.6174 -0.2681   0.1467
        145        1  0.2178 -1.2411   0.0320
        146        0 -1.1555 -1.0703  -2.2769
        147        0 -0.1412 -1.9564  -1.9906
        148        1  0.0329  0.3780   1.8175
        149        1  0.7521  1.1422   1.5116
        150        1  0.3672 -0.1583   1.7592
        151        0 -0.2664 -0.9027   0.8183
        152        1 -1.2881  0.7942   0.9777
        153        1 -0.3847  0.2723  -0.1500
        154        1  0.8825 -1.2540   2.2042
        155        1 -0.4244 -1.3896   4.2799
        156        1 -1.0738 -0.3133   5.9394
        157        1  1.7107  0.8121   2.8229
        158        0 -1.4396 -1.5676   1.2183
        159        1  0.3162 -0.5187   2.1422
        160        1  1.4828  0.7775  -1.0639
        161        0 -0.8497  1.3479  -4.7020
        162        0  0.2382  1.6998  -3.9345
        163        0 -0.0746  0.8053  -3.3804
        164        0  0.7687 -1.0332  -4.4086
        165        0  1.7042 -0.4033  -2.1379
        166        0 -0.4947  0.0286  -3.1665
        167        1  0.1144  0.3354   2.4830
        168        1  1.1033  0.9694   2.6076
        169        1  1.1428  1.3494   4.8743
        170        1 -0.3306 -0.6914   5.1822
        171        1  0.7473  0.0073   2.4173
        172        1 -0.3648  2.2940   0.8748
        173        1 -0.0339 -1.9511   3.4499
        174        0 -0.2812 -2.4701   3.0603
        175        0  0.3862 -1.4716   0.0311
        176        0  0.7805 -0.6003  -1.7332
        177        1 -0.1458  1.2491   0.0679
        178        0  1.2884  1.0953  -4.3202
        179        0 -0.2604  0.3892  -5.9701
        180        0  1.3505  0.5336  -1.1945
        181        0 -0.2404 -0.2391  -0.5069
        182        0  0.6679 -0.9465   0.0251
        183        1 -0.5864 -0.3629   1.3480
        184        1  1.7973  1.4026   0.4649
        185        1 -1.3406  0.3433  -0.4415
        186        1  1.1537 -0.4168  -0.4441
        187        1 -1.0449  0.9015   2.6351
        188        0  0.0410 -0.1545  -0.9945
        189        0 -0.9825 -1.4503   1.8802
        190        1  0.8793 -0.2714   1.8584
        191        0 -1.7773  0.6091   1.3151
        192        1  2.1617  0.9906   1.1150
        193        0  0.3754 -0.3136  -0.3057
        194        1  0.7673  1.3214  -1.1213
        195        0  0.2234 -0.2585  -2.1103
        196        0  1.1622  0.2065  -1.9495
        197        0 -1.3953 -0.2131  -2.4337
        198        0 -1.6900  0.1321  -6.5069
        199        0 -1.3780  0.5459  -0.7240
        200        1  0.9870 -0.7217   1.1460
        201        0  1.6530 -1.8043  -0.7395
        202        0 -0.2983  0.0925  -1.1427
        203        0 -1.0285 -1.8948  -0.6374
        204        1  0.1730  0.9854  -0.2087
        205        1  2.1915  0.0443  -0.5679
        206        0 -0.5779  0.5509  -0.8843
        207        0 -0.0826  1.3102  -1.9891
